"ID","goal","enddate","startdate","coinNum","teamSize","country_region","categories","overallrating","ratingTeam","ratingProduct","platform","acceptingCurrencyNum","whitepaper","video","socialMedia","GitHub","teamLinkedIn","teamPhotos","CEOPhoto","bitcoin.price","continent_region","duration"
877,"Y",2018-06-01,2018-04-01,6400000,2,"UK","Cryptocurrency,Investment",2.4,0,0,"Ethereum","2",1,1,0,1,1,1,1,8234.359336,"Europe",61
878,"Y",2018-03-30,2018-01-29,4.5e+07,18,"Cyprus","Banking,Business services",2.6,0,0,"Ethereum","1",1,1,2,0,0.89,1,0,9346.28807,"Asia",60
879,"N",2018-01-31,2018-01-10,0,9,"Russia","Platform,Communication",1.6,1.6,1,"unknown","unknown",1,0,0,0,0,1,0,12046.0546,"Europe",21
880,"N",2018-05-31,2018-05-10,3.5e+07,5,"Russia","Education,Investment,Smart Contract,Big Data,Banking,Business services,Cryptocurrency",1.4,1.3,1,"unknown","unknown",1,0,0,0,0,1,0,8033.428178,"Europe",21
881,"Y",2018-05-25,2018-02-01,1e+09,9,"Australia","Cryptocurrency,Investment",2.5,0,0,"Ethereum","2",1,1,0,0,0.71,1,1,8809.024217,"Oceania",113
882,"N",2017-11-30,2017-10-30,1.3e+07,14,"Switzerland","Business services,Platform",2.8,3.2,2.5,"Ethereum","1",1,1,0,0,0.86,1,1,7718.528717,"Europe",31
883,"N",2018-05-31,2018-01-01,5e+08,14,"UK","Banking,Cryptocurrency",2.7,2.4,2.5,"Ethereum","7",1,1,1,1,1,1,0,9629.896898,"Europe",150
884,"N",2018-05-01,2017-12-01,0,10,"Kenya","Business services",1.1,1,1,"unknown","unknown",0,0,3,1,0.4,0,0,11022.20337,"Africa",151
885,"N",2017-10-31,2017-10-21,1e+09,27,"USA","Platform,Communication",3.4,4,3,"Ethereum","4",1,1,0,1,0.29,1,0,5949.03449,"Americas",10
886,"N",2018-01-29,2017-12-19,9e+07,6,"Finland","Software",2.3,0,0,"Ethereum","unknown",1,0,0,1,0.78,1,1,13817.19287,"Europe",41
887,"N",2018-05-10,2018-02-11,46900000,33,"Gibraltar","Artificial Intelligence,Education,Platform,Virtual Reality",2.6,0,0,"Ethereum","2",1,1,0,0,0,1,0,8959.1281,"Europe",88
888,"N",2018-04-30,2018-04-01,1.15e+08,9,"USA","Health",3.6,4,3.2,"Ethereum","4",1,1,0,1,0.33,1,0,8033.596631,"Americas",29
889,"N",2018-03-31,2018-03-01,7.5e+10,6,"Russia","Investment,Real estate",1.6,1.7,1.3,"Ethereum","1",0,0,0,0,0.17,1,0,9040.557097,"Europe",30
890,"N",2018-04-20,2018-03-29,0,11,"Netherland","Smart Contract",2.4,0,0,"Ethereum","2",1,0,0,0,0,1,0,7416.905167,"Europe",22
891,"Y",2018-04-24,2018-02-24,2.5e+07,6,"Romania","Charity,Cryptocurrency,Platform",2.5,2.4,1.4,"Ethereum","4",1,1,2,1,1,1,0,8618.512663,"Europe",59
892,"N",2017-09-14,2017-08-15,0,2,"USA","Media,Platform",3,0,0,"Ethereum","1",1,1,0,0,0,1,1,4291.254521,"Americas",30
893,"N",2018-02-05,2018-01-05,0,4,"Russia","Cryptocurrency",1.5,0,0,"unknown","unknown",1,0,0,0,0,1,0,12144.41502,"Europe",31
894,"N",2018-03-31,2018-03-01,2.7e+08,9,"Singapore","Business services,Platform",2.9,0,0,"Ethereum","1",1,1,2,1,0.44,1,0,9040.557097,"Asia",30
895,"Y",2018-05-28,2018-04-24,1.3e+08,14,"Australia","Business services,Cryptocurrency,Investment,Platform,Retail",2.7,2.8,2.4,"Ethereum","4",1,1,0,1,0.43,1,0,8697.930288,"Oceania",34
896,"Y",2018-02-09,2018-02-07,6.6e+07,11,"France","Platform,Banking",3.9,4.5,3.9,"Ethereum","1",1,1,2,1,1,1,0,8207.956706,"Europe",2
897,"N",2018-04-22,2018-02-01,10450000,5,"USA","Business services",2.1,2,1,"Ethereum","1",1,0,0,0,0,1,0,8799.140878,"Americas",80
898,"Y",2017-10-18,2017-09-18,3170000,4,"Russia","Infrastructure",2.5,0,0,"Ethereum","unknown",1,1,0,1,0,1,0,4526.824833,"Europe",30
899,"Y",2018-04-27,2018-04-11,1,20,"Singapore","Cryptocurrency,Platform",3.3,5,5,"unknown","unknown",1,1,2,0,0,1,1,8457.289378,"Asia",16
900,"N",2017-11-07,2017-10-07,0,8,"Israel","Sports,Health,Cryptocurrency",1.7,2,2,"Ethereum","1",0,0,0,0,0,1,0,5940.974045,"Asia",31
901,"N",2018-01-19,2017-11-19,0,19,"USA","Platform,Business services",2.1,0,0,"Ethereum","1",1,0,0,1,0.89,1,0,13738.8682,"Americas",61
902,"Y",2018-03-24,2018-02-15,1e+08,17,"Korea","Casino & Gambling,Platform",3,0,0,"QRC","3",1,1,0,0,0,1,0,9826.134766,"Asia",37
